Data,MAC,Serial,IMEI,CIMI,Firmware
2026-02-23 15:48:34,2805A51F6FDC,8572734018,863758061366521,,Manual/Monitor
2026-02-23 15:49:44,2805A51F6FDC,8572734018,863758061366521,268031901859742,Manual/Monitor
2026-02-23 15:53:06,2805A520A5D0,4419759122,863758061366539,268031901859741,Manual/Monitor
2026-02-23 15:53:54,2805A520A5D0,4419759122,863758061366539,268031901859741,Manual/Monitor
2026-02-23 16:03:29,2805A520B8D0,2149000929,863758061366471,268031901859740,Manual/Monitor
2026-02-23 16:08:31,2805A51FA544,7802719821,863758061429782,268031901859739,Manual/Monitor
2026-02-23 16:15:23,2805A51F9DF4,8828935297,863758061366448,268031901859738,Manual/Monitor
2026-02-23 16:24:58,2805A51FAD98,9403524075,863758061366422,268031901859737,Manual/Monitor
2026-02-23 16:27:20,2805A51F7AE8,6737176714,863758061366398,268031901859657,Manual/Monitor
2026-02-23 16:35:50,2805A51FA5D8,4276541840,863758061366372,268031901859659,Manual/Monitor
2026-02-23 16:37:43,2805A520A71C,3166134421,863758061366380,268031901859658,Manual/Monitor
2026-02-23 16:39:17,2805A51FABEC,3904867573,863758061429808,268031901859660,Manual/Monitor
2026-02-23 16:59:21,2805A51F852C,9107606264,863758061366463,268031901859630,Manual/Monitor
2026-02-23 17:00:06,2805A51FAE68,6880418302,863758061366455,268031901859552,Manual/Monitor
2026-02-23 17:00:22,2805A51FAE68,6880418302,863758061366455,268031901859552,Manual/Monitor
2026-02-23 17:02:33,2805A5209F78,8539896976,863758061366554,268031901859553,Manual/Monitor
2026-02-23 17:19:12,2805A51F65A0,6931248808,863758061366497,268031901859555,Manual/Monitor
2026-02-23 17:22:31,2805A520DF48,3311820171,863758061366406,268031901859556,Manual/Monitor
2026-02-23 17:25:28,2805A51F8B10,8229858653,863758061366513,,Manual/Monitor
2026-02-23 17:44:01,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-23 18:04:40,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-23 18:05:38,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-23 18:05:38,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:08:37,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:08:50,2805a51f6fdc,,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:09:03,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:09:19,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:09:43,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:11:29,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:11:34,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:11:46,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:13:02,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:17:32,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:20:40,2805A51F6FDC,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:39:05,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:40:02,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:40:51,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:53:48,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:55:04,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:55:21,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 15:58:11,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
2026-02-24 16:00:21,2805a51f6fdc,5041460895,863758061366521,268031901859742,Manual/Monitor
